Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,95.489998,96.470001,95.33000200000001,95.889999,91.258865,26026500
2016-06-30,94.440002,95.769997,94.300003,95.599998,90.98288000000001,35836400
2016-06-29,93.970001,94.550003,93.629997,94.400002,89.840843,36531000
2016-06-28,92.900002,93.660004,92.139999,93.589996,89.06995400000001,40444900
2016-06-27,93.0,93.050003,91.5,92.040001,87.59481,45489600
2016-06-24,92.910004,94.660004,92.650002,93.400002,88.88913000000001,75311400
2016-06-23,95.940002,96.290001,95.25,96.099998,91.458733,32240200
2016-06-22,96.25,96.889999,95.349998,95.550003,90.935295,29219100
2016-06-21,94.940002,96.349998,94.68,95.910004,91.277893,35546400
2016-06-20,96.0,96.57,95.029999,95.099998,90.507019,34411900
2016-06-17,96.620003,96.650002,95.300003,95.33000200000001,90.725914,61008200
2016-06-16,96.449997,97.75,96.07,97.550003,92.838699,31326800
2016-06-15,97.82,98.410004,97.029999,97.139999,92.448509,29445200
2016-06-14,97.32,98.480003,96.75,97.459999,92.753036,31931900
2016-06-13,98.690002,99.120003,97.099998,97.339996,92.63884,38020500
2016-06-10,98.529999,99.349998,98.480003,98.83000200000001,94.056877,31712900
2016-06-09,98.5,99.989998,98.459999,99.650002,94.837273,26601400
2016-06-08,99.019997,99.559998,98.68,98.940002,94.161552,20848100
2016-06-07,99.25,99.870003,98.959999,99.029999,94.247215,22409500
2016-06-06,97.989998,101.889999,97.550003,98.629997,93.86653100000001,23292500
2016-06-03,97.790001,98.269997,97.449997,97.91999799999999,93.190834,28504900
2016-06-02,97.599998,97.839996,96.629997,97.720001,93.000496,40191600
2016-06-01,99.019997,99.540001,98.33000200000001,98.459999,93.70474200000001,29173300
2016-05-31,99.599998,100.400002,98.82,99.860001,95.03711700000001,42307200
2016-05-27,99.440002,100.470001,99.25,100.349998,95.503456,36341200
2016-05-26,99.68,100.730003,98.639999,100.410004,95.560585,56331200
2016-05-25,98.66999799999999,99.739998,98.110001,99.620003,94.80873100000001,38168800
2016-05-24,97.220001,98.089996,96.839996,97.900002,93.17178299999999,35140200
2016-05-23,95.870003,97.190002,95.66999799999999,96.43,91.77278100000001,38018600
2016-05-20,94.639999,95.43,94.519997,95.220001,90.621223,32026000
2016-05-19,94.639999,94.639999,93.57,94.199997,89.650475,30442100
2016-05-18,94.160004,95.209999,93.889999,94.559998,89.993103,42062400
2016-05-17,94.550003,94.699997,93.010002,93.489998,88.97476999999999,46916900
2016-05-16,92.389999,94.389999,91.650002,93.879997,89.345955,61259800
2016-05-13,90.0,91.66999799999999,90.0,90.519997,86.148216,44392800
2016-05-12,92.720001,92.779999,89.470001,90.339996,85.976913,76314700
2016-05-11,93.480003,93.57,92.459999,92.510002,88.04212199999999,28719100
2016-05-10,93.33000200000001,93.57,92.110001,93.41999799999999,88.908142,33686800
2016-05-09,93.0,93.769997,92.589996,92.790001,88.308601,32936400
2016-05-06,93.370003,93.449997,91.849998,92.720001,88.241974,43699900
2016-05-05,94.0,94.07,92.68,93.239998,88.736847,35890500
2016-05-04,95.199997,95.900002,93.82,94.190002,89.09850300000001,41025500
2016-05-03,94.199997,95.739998,93.68,95.18,90.034988,56831300
2016-05-02,93.970001,94.08000200000001,92.400002,93.639999,88.578232,48160100
2016-04-29,93.989998,94.720001,92.510002,93.739998,88.67282900000001,68531500
2016-04-28,97.610001,97.879997,94.25,94.83000200000001,89.703918,82242700
2016-04-27,96.0,98.709999,95.68,97.82,92.53227199999999,114602100
2016-04-26,103.910004,105.300003,103.910004,104.349998,98.709282,56016200
2016-04-25,105.0,105.650002,104.510002,105.08000200000001,99.39984100000001,28031600
2016-04-22,105.010002,106.480003,104.620003,105.68,99.9674,33683100
2016-04-21,106.93,106.93,105.519997,105.970001,100.24173,31552500
2016-04-20,106.639999,108.089996,106.059998,107.129997,101.33901999999999,30611000
2016-04-19,107.879997,108.0,106.230003,106.910004,101.130913,32384900
2016-04-18,108.889999,108.949997,106.940002,107.480003,101.670097,60821500
2016-04-15,112.110001,112.300003,109.730003,109.849998,103.91199499999999,46939000
2016-04-14,111.620003,112.389999,111.33000200000001,112.099998,106.040352,25473900
2016-04-13,110.800003,112.339996,110.800003,112.040001,105.98362,33257300
2016-04-12,109.339996,110.5,108.660004,110.440002,104.470108,27232300
2016-04-11,108.970001,110.610001,108.83000200000001,109.019997,103.12683100000001,29407500
2016-04-08,108.910004,109.769997,108.16999799999999,108.660004,102.786316,23581700
2016-04-07,109.949997,110.41999799999999,108.120003,108.540001,102.67280600000001,31801900
2016-04-06,110.230003,110.980003,109.199997,110.959999,104.961983,26404100
2016-04-05,109.510002,110.730003,109.41999799999999,109.809998,103.87413000000001,26578700
2016-04-04,110.41999799999999,112.190002,110.269997,111.120003,105.11335,37356200
2016-04-01,108.779999,110.0,108.199997,109.989998,104.04441800000001,25874000
2016-03-31,109.720001,109.900002,108.879997,108.989998,103.098488,25888400
2016-03-30,108.650002,110.41999799999999,108.599998,109.559998,103.63765699999999,45601100
2016-03-29,104.889999,107.790001,104.879997,107.68,101.859291,31190100
2016-03-28,106.0,106.190002,105.059998,105.190002,99.50389100000001,19411400
2016-03-24,105.470001,106.25,104.889999,105.66999799999999,99.957932,26133000
2016-03-23,106.480003,107.07,105.900002,106.129997,100.393074,25703500
2016-03-22,105.25,107.290001,105.209999,106.720001,100.951187,32444400
2016-03-21,105.93,107.650002,105.139999,105.910004,100.184975,35502700
2016-03-18,106.339996,106.5,105.190002,105.91999799999999,100.194412,44205200
2016-03-17,105.519997,106.470001,104.959999,105.800003,100.080917,34420700
2016-03-16,104.610001,106.309998,104.589996,105.970001,100.24173,38303500
2016-03-15,103.959999,105.18,103.849998,104.58000200000001,98.926865,40067700
2016-03-14,101.910004,102.910004,101.779999,102.519997,96.978226,25076100
2016-03-11,102.239998,102.279999,101.5,102.260002,96.73226899999999,27408200
2016-03-10,101.410004,102.239998,100.150002,101.16999799999999,95.701187,33513600
2016-03-09,101.309998,101.58000200000001,100.269997,101.120003,95.653908,27201700
2016-03-08,100.779999,101.760002,100.400002,101.029999,95.56875600000001,31561900
2016-03-07,102.389999,102.83000200000001,100.959999,101.870003,96.36335799999999,35828900
2016-03-04,102.370003,103.75,101.370003,103.010002,97.441711,46055100
2016-03-03,100.58000200000001,101.709999,100.449997,101.5,96.013351,36955700
2016-03-02,100.510002,100.889999,99.639999,100.75,95.303894,33169600
2016-03-01,97.650002,100.769997,97.41999799999999,100.529999,95.095795,50407100
2016-02-29,96.860001,98.230003,96.650002,96.690002,91.463356,35216300
2016-02-26,97.199997,98.019997,96.58000200000001,96.910004,91.671463,28991100
2016-02-25,96.050003,96.760002,95.25,96.760002,91.529579,27582700
2016-02-24,93.980003,96.379997,93.32,96.099998,90.90525799999999,36255700
2016-02-23,96.400002,96.5,94.550003,94.690002,89.571465,31942600
2016-02-22,96.309998,96.900002,95.91999799999999,96.879997,91.643089,34280800
2016-02-19,96.0,96.760002,95.800003,96.040001,90.848495,35374200
2016-02-18,98.839996,98.889999,96.089996,96.260002,91.05660999999999,39021000
2016-02-17,96.66999799999999,98.209999,96.150002,98.120003,92.816063,44863200
2016-02-16,95.019997,96.849998,94.610001,96.639999,91.416077,49057900
2016-02-12,94.190002,94.5,93.010002,93.989998,88.909309,40351400
2016-02-11,93.790001,94.720001,92.589996,93.699997,88.634987,50074700
2016-02-10,95.91999799999999,96.349998,94.099998,94.269997,89.174171,42343600
2016-02-09,94.290001,95.940002,93.93,94.989998,89.855255,44331200
2016-02-08,93.129997,95.699997,93.040001,95.010002,89.874184,54021400
2016-02-05,96.519997,96.91999799999999,93.690002,94.019997,88.93768299999999,46418100
2016-02-04,95.860001,97.33000200000001,95.190002,96.599998,91.37822,46471700
2016-02-03,95.0,96.839996,94.08000200000001,96.349998,90.64984100000001,45964300
2016-02-02,95.41999799999999,96.040001,94.279999,94.480003,88.890472,37357200
2016-02-01,96.470001,96.709999,95.400002,96.43,90.725128,40943500
2016-01-29,94.790001,97.339996,94.349998,97.339996,91.581261,64416500
2016-01-28,93.790001,94.519997,92.389999,94.089996,88.523552,55678800
2016-01-27,96.040001,96.629997,93.339996,93.41999799999999,87.89318100000001,133369700
2016-01-26,99.93,100.879997,98.07,99.989998,94.07450899999999,75077000
2016-01-25,101.519997,101.529999,99.209999,99.440002,93.55705999999999,51794500
2016-01-22,98.629997,101.459999,98.370003,101.41999799999999,95.419914,65800500
2016-01-21,97.059998,97.879997,94.940002,96.300003,90.602806,52161500
